gcode,itemcode,desc,Custom,Lighthouse,Cornerstone
BAF,BAF2424,Base Appliance Frame,T,T,T
BAF,BAF2430,Base Appliance Frame,T,T,T
BAF,BAF2436,Base Appliance Frame,T,T,F
BAF,BAF2448,Base Appliance Frame,T,T,F
BAF,BAF2724,Base Appliance Frame,T,T,T
BAF,BAF2730,Base Appliance Frame,T,T,T
BAF,BAF2736,Base Appliance Frame,T,T,F
BAF,BAF2748,Base Appliance Frame,T,T,F
BAF,BAF3024,Base Appliance Frame,T,T,T
BAF,BAF3030,Base Appliance Frame,T,T,T
BAF,BAF3036,Base Appliance Frame,T,T,F
BAF,BAF3048,Base Appliance Frame,T,T,F
BAF,BAF3324,Base Appliance Frame,T,T,T
BAF,BAF3330,Base Appliance Frame,T,T,T
BAF,BAF3336,Base Appliance Frame,T,T,F
BAF,BAF3348,Base Appliance Frame,T,T,F
BAF,BAF3624,Base Appliance Frame,T,T,T
BAF,BAF3630,Base Appliance Frame,T,T,T
BAF,BAF3636,Base Appliance Frame,T,T,F
BAF,BAF3648,Base Appliance Frame,T,T,F
BAF1D,BAF1D2424,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D2430,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D2436,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D2448,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D2724,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D2730,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D2736,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D2748,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D3024,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D3030,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D3036,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D3048,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D3324,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D3330,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D3336,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D3348,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D3624,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D3630,Base Appliance Frame & 1 Drawer,T,T,T
BAF1D,BAF1D3636,Base Appliance Frame & 1 Drawer,T,T,F
BAF1D,BAF1D3648,Base Appliance Frame & 1 Drawer,T,T,F
BAF2D,BAF2D2430,Base Appliance Frame & 2 Drawer,T,T,T
BAF2D,BAF2D2436,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D2448,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D2730,Base Appliance Frame & 2 Drawer,T,T,T
BAF2D,BAF2D2736,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D2748,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D3030,Base Appliance Frame & 2 Drawer,T,T,T
BAF2D,BAF2D3036,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D3048,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D3330,Base Appliance Frame & 2 Drawer,T,T,T
BAF2D,BAF2D3336,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D3348,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D3630,Base Appliance Frame & 2 Drawer,T,T,T
BAF2D,BAF2D3636,Base Appliance Frame & 2 Drawer,T,T,F
BAF2D,BAF2D3648,Base Appliance Frame & 2 Drawer,T,T,F
BAS,BAS2430,Base Apron Sink,T,T,T
BAS,BAS2730,Base Apron Sink,T,T,T
BAS,BAS3030,Base Apron Sink,T,T,T
BAS,BAS3330,Base Apron Sink,T,T,T
BAS,BAS3630,Base Apron Sink,T,T,T
BAS,BAS3930,Base Apron Sink,T,T,T
BB,BLB3624,Base Door & Drawer Left Blind,T,T,T
BB,BLB3630,Base Door & Drawer Left Blind,T,T,T
BB,BLB3924,Base Door & Drawer Left Blind,T,T,T
BB,BLB3930,Base Door & Drawer Left Blind,T,T,T
BB,BLB4224,Base Door & Drawer Left Blind,T,T,T
BB,BLB4230,Base Door & Drawer Left Blind,T,T,T
BB,BLB4524,Base Door & Drawer Left Blind,T,T,T
BB,BLB4530,Base Door & Drawer Left Blind,T,T,T
BB,BLB4824,Base Door & Drawer Left Blind,T,T,T
BB,BLB4830,Base Door & Drawer Left Blind,T,T,T
BB,BLB5124,Base Door & Drawer Left Blind,T,T,T
BB,BLB5130,Base Door & Drawer Left Blind,T,T,T
BB,BLB5424,Base Door & Drawer Left Blind,T,T,T
BB,BLB5430,Base Door & Drawer Left Blind,T,T,T
BB,BLB5724,Base Door & Drawer Left Blind,T,T,T
BB,BLB5730,Base Door & Drawer Left Blind,T,T,T
BB,BLB6024,Base Door & Drawer Left Blind,T,T,T
BB,BLB6030,Base Door & Drawer Left Blind,T,T,T
BB,BRB3624,Base Door & Drawer Right Blind,T,T,T
BB,BRB3630,Base Door & Drawer Right Blind,T,T,T
BB,BRB3924,Base Door & Drawer Right Blind,T,T,T
BB,BRB3930,Base Door & Drawer Right Blind,T,T,T
BB,BRB4224,Base Door & Drawer Right Blind,T,T,T
BB,BRB4230,Base Door & Drawer Right Blind,T,T,T
BB,BRB4524,Base Door & Drawer Right Blind,T,T,T
BB,BRB4530,Base Door & Drawer Right Blind,T,T,T
BB,BRB4824,Base Door & Drawer Right Blind,T,T,T
BB,BRB4830,Base Door & Drawer Right Blind,T,T,T
BB,BRB5124,Base Door & Drawer Right Blind,T,T,T
BB,BRB5130,Base Door & Drawer Right Blind,T,T,T
BB,BRB5424,Base Door & Drawer Right Blind,T,T,T
BB,BRB5430,Base Door & Drawer Right Blind,T,T,T
BB,BRB5724,Base Door & Drawer Right Blind,T,T,T
BB,BRB5730,Base Door & Drawer Right Blind,T,T,T
BB,BRB6024,Base Door & Drawer Right Blind,T,T,T
BB,BRB6030,Base Door & Drawer Right Blind,T,T,T
BCFD,BCFD3324,Base Corner Full Door,T,T,T
BCFD,BCFD3330,Base Corner Full Door,T,T,T
BCFD,BCFD3624,Base Corner Full Door,T,T,T
BCFD,BCFD3630,Base Corner Full Door,T,T,T
BCM,BCML3330,Base Combination Drawer Left,T,T,T
BCM,BCML3630,Base Combination Drawer Left,T,T,T
BCM,BCML3930,Base Combination Drawer Left,T,T,T
BCM,BCML4230,Base Combination Drawer Left,T,T,T
BCM,BCML4530,Base Combination Drawer Left,T,T,T
BCM,BCML4830,Base Combination Drawer Left,T,T,T
BCM,BCMLR3930,Base Combination Drawer Left-Right,T,T,T
BCM,BCMLR4230,Base Combination Drawer Left-Right,T,T,T
BCM,BCMLR4530,Base Combination Drawer Left-Right,T,T,T
BCM,BCMLR4830,Base Combination Drawer Left-Right,T,T,T
BCM,BCMR3330,Base Combination Drawer Right,T,T,T
BCM,BCMR3630,Base Combination Drawer Right,T,T,T
BCM,BCMR3930,Base Combination Drawer Right,T,T,T
BCM,BCMR4230,Base Combination Drawer Right,T,T,T
BCM,BCMR4530,Base Combination Drawer Right,T,T,T
BCM,BCMR4830,Base Combination Drawer Right,T,T,T
BCMD,BCMDL2430,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL2730,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL3030,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL3330,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL3630,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL3930,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL4230,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL4530,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDL4830,Base Combination Drawer Bank Left,T,T,T
BCMD,BCMDR2430,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR2730,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR3030,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR3330,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR3630,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR3930,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR4230,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR4530,Base Combination Drawer Bank Right,T,T,T
BCMD,BCMDR4830,Base Combination Drawer Bank Right,T,T,T
BCT3D,BCT3D2724,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D2730,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3024,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3030,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3324,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3330,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3624,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3630,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3924,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D3930,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D4224,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D4230,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D4524,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D4530,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D4824,Base Cooktop 3 Drawer,T,T,T
BCT3D,BCT3D4830,Base Cooktop 3 Drawer,T,T,T
BCT3DD,BCT3DD2724,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD2730,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3024,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3030,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3324,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3330,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3624,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3630,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3924,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
BCT3DD,BCT3DD3930,Base Cooktop 3 Drawer Top Double Drawer,T,T,T
